IdDominio,Texto,IdLengua,Texto,IdRasgo,Texto,IdValorRasgo,Texto
3,Estructura Argumental ,3,Quechua de Cajamarca,8,Codificación de A,1,Sufijo verbal
3,Estructura Argumental ,3,Quechua de Cajamarca,9,Codificación de P ,1,Sufijo verbal
3,Estructura Argumental ,3,Quechua de Cajamarca,10,Codificación de T,1,sin marca
3,Estructura Argumental ,3,Quechua de Cajamarca,11,Codificación de R,1,sufijo verbal
3,Estructura Argumental ,3,Quechua de Cajamarca,12,alineamiento intransitivo-transitivo (flaggi),2,nom-acc
3,Estructura Argumental ,3,Quechua de Cajamarca,13,alineamiento transitivo-ditransitivo (flaggi),2,indirectivo
3,Estructura Argumental ,3,Quechua de Cajamarca,6,Codificación de S en el sustantivo ,1,sufijo nominal
3,Estructura Argumental ,3,Quechua de Cajamarca,1,Codificación de A en el sustantivo ,1,sufijo nominal
3,Estructura Argumental ,3,Quechua de Cajamarca,2,Doble marcación de argumentos ,1,Presencia
3,Estructura Argumental ,3,Quechua de Cajamarca,14,Codificación de P en el sustantivo ,1,Marca de caso
3,Estructura Argumental ,3,Quechua de Cajamarca,15,Marcación de T en el sustantivo ,1,sufijo nominal
3,Estructura Argumental ,3,Quechua de Cajamarca,16,Marcación de R en el sustantivo ,1,sufijo nominal
3,Estructura Argumental ,4,Quechua Ecuatoriano,3,Alineamiento intransitivo transitivo,1,nominativo acusativo (A=S≠P)
3,Estructura Argumental ,4,Quechua Ecuatoriano,4,Alineamiento transitivo ditransitivo,2,secundativo o de objeto secundario (T≠P)
3,Estructura Argumental ,4,Quechua Ecuatoriano,5,fusión de argumentos,2,no fusión
3,Estructura Argumental ,4,Quechua Ecuatoriano,7,Codificación de S,1,Sufijo verbal
3,Estructura Argumental ,4,Quechua Ecuatoriano,8,Codificación de A,1,Sufijo verbal
3,Estructura Argumental ,4,Quechua Ecuatoriano,9,Codificación de P ,1,Sufijo verbal
3,Estructura Argumental ,4,Quechua Ecuatoriano,10,Codificación de T,1,sin marca
3,Estructura Argumental ,4,Quechua Ecuatoriano,11,Codificación de R,1,sufijo verbal
3,Estructura Argumental ,4,Quechua Ecuatoriano,12,alineamiento intransitivo-transitivo (flaggi),2,nom-acc
3,Estructura Argumental ,4,Quechua Ecuatoriano,13,alineamiento transitivo-ditransitivo (flaggi),1,neutro
3,Estructura Argumental ,4,Quechua Ecuatoriano,6,Codificación de S en el sustantivo ,1,sufijo nominal
3,Estructura Argumental ,4,Quechua Ecuatoriano,1,Codificación de A en el sustantivo ,1,sufijo nominal
3,Estructura Argumental ,4,Quechua Ecuatoriano,2,Doble marcación de argumentos ,2,Ausencia
3,Estructura Argumental ,4,Quechua Ecuatoriano,14,Codificación de P en el sustantivo ,1,Marca de caso
3,Estructura Argumental ,4,Quechua Ecuatoriano,15,Marcación de T en el sustantivo ,1,sufijo nominal
3,Estructura Argumental ,4,Quechua Ecuatoriano,16,Marcación de R en el sustantivo ,1,sufijo nominal
3,Estructura Argumental ,5,Quechua Ayacuchano,3,Alineamiento intransitivo transitivo,1,nominativo acusativo (A=S≠P)
3,Estructura Argumental ,5,Quechua Ayacuchano,4,Alineamiento transitivo ditransitivo,2,secundativo o de objeto secundario (T≠P)
3,Estructura Argumental ,5,Quechua Ayacuchano,5,fusión de argumentos,1,fusión
3,Estructura Argumental ,5,Quechua Ayacuchano,7,Codificación de S,1,Sufijo verbal
3,Estructura Argumental ,5,Quechua Ayacuchano,8,Codificación de A,1,Sufijo verbal
3,Estructura Argumental ,5,Quechua Ayacuchano,9,Codificación de P ,1,Sufijo verbal
3,Estructura Argumental ,5,Quechua Ayacuchano,10,Codificación de T,1,sin marca
3,Estructura Argumental ,5,Quechua Ayacuchano,11,Codificación de R,1,sufijo verbal
3,Estructura Argumental ,5,Quechua Ayacuchano,12,alineamiento intransitivo-transitivo (flaggi),2,nom-acc
3,Estructura Argumental ,5,Quechua Ayacuchano,13,alineamiento transitivo-ditransitivo (flaggi),2,indirectivo
3,Estructura Argumental ,5,Quechua Ayacuchano,6,Codificación de S en el sustantivo ,1,sufijo nominal
3,Estructura Argumental ,5,Quechua Ayacuchano,1,Codificación de A en el sustantivo ,1,sufijo nominal
3,Estructura Argumental ,5,Quechua Ayacuchano,2,Doble marcación de argumentos ,1,Presencia
3,Estructura Argumental ,5,Quechua Ayacuchano,14,Codificación de P en el sustantivo ,1,Marca de caso
3,Estructura Argumental ,5,Quechua Ayacuchano,15,Marcación de T en el sustantivo ,1,sufijo nominal
3,Estructura Argumental ,5,Quechua Ayacuchano,16,Marcación de R en el sustantivo ,1,sufijo nominal
3,Estructura Argumental ,7,Aymara Sureno,3,Alineamiento intransitivo transitivo,1,nominativo acusativo (A=S≠P)
3,Estructura Argumental ,7,Aymara Sureno,4,Alineamiento transitivo ditransitivo,2,secundativo o de objeto secundario (T≠P)
3,Estructura Argumental ,7,Aymara Sureno,5,fusión de argumentos,1,fusión
3,Estructura Argumental ,7,Aymara Sureno,7,Codificación de S,1,Sufijo verbal
3,Estructura Argumental ,7,Aymara Sureno,8,Codificación de A,1,Sufijo verbal
3,Estructura Argumental ,7,Aymara Sureno,9,Codificación de P ,1,Sufijo verbal
3,Estructura Argumental ,7,Aymara Sureno,10,Codificación de T,1,sin marca
3,Estructura Argumental ,7,Aymara Sureno,11,Codificación de R,1,sufijo verbal
3,Estructura Argumental ,7,Aymara Sureno,12,alineamiento intransitivo-transitivo (flaggi),2,nom-acc
3,Estructura Argumental ,7,Aymara Sureno,13,alineamiento transitivo-ditransitivo (flaggi),2,indirectivo
3,Estructura Argumental ,7,Aymara Sureno,6,Codificación de S en el sustantivo ,1,sufijo nominal
3,Estructura Argumental ,7,Aymara Sureno,1,Codificación de A en el sustantivo ,1,sufijo nominal
3,Estructura Argumental ,7,Aymara Sureno,2,Doble marcación de argumentos ,1,Presencia
3,Estructura Argumental ,7,Aymara Sureno,14,Codificación de P en el sustantivo ,1,Marca de caso
3,Estructura Argumental ,7,Aymara Sureno,15,Marcación de T en el sustantivo ,1,sufijo nominal
3,Estructura Argumental ,7,Aymara Sureno,16,Marcación de R en el sustantivo ,1,sufijo nominal
3,Estructura Argumental ,8,Jaqaru,3,Alineamiento intransitivo transitivo,1,nominativo acusativo (A=S≠P)
3,Estructura Argumental ,8,Jaqaru,4,Alineamiento transitivo ditransitivo,2,secundativo o de objeto secundario (T≠P)
3,Estructura Argumental ,8,Jaqaru,5,fusión de argumentos,1,fusión
3,Estructura Argumental ,8,Jaqaru,7,Codificación de S,1,Sufijo verbal
3,Estructura Argumental ,8,Jaqaru,8,Codificación de A,1,Sufijo verbal
3,Estructura Argumental ,8,Jaqaru,9,Codificación de P ,1,Sufijo verbal
3,Estructura Argumental ,8,Jaqaru,10,Codificación de T,1,sin marca
3,Estructura Argumental ,8,Jaqaru,11,Codificación de R,1,sufijo verbal
3,Estructura Argumental ,8,Jaqaru,12,alineamiento intransitivo-transitivo (flaggi),2,nom-acc
3,Estructura Argumental ,8,Jaqaru,13,alineamiento transitivo-ditransitivo (flaggi),2,indirectivo
3,Estructura Argumental ,8,Jaqaru,6,Codificación de S en el sustantivo ,1,sufijo nominal
3,Estructura Argumental ,8,Jaqaru,1,Codificación de A en el sustantivo ,1,sufijo nominal
3,Estructura Argumental ,8,Jaqaru,2,Doble marcación de argumentos ,1,Presencia
3,Estructura Argumental ,8,Jaqaru,14,Codificación de P en el sustantivo ,1,Marca de caso
3,Estructura Argumental ,8,Jaqaru,15,Marcación de T en el sustantivo ,1,sufijo nominal
3,Estructura Argumental ,8,Jaqaru,16,Marcación de R en el sustantivo ,1,sufijo nominal
3,Estructura Argumental ,9,Chipaya,3,Alineamiento intransitivo transitivo,1,nominativo acusativo (A=S≠P)
3,Estructura Argumental ,9,Chipaya,4,Alineamiento transitivo ditransitivo,3,Alineamiento neutral (T=P=R)
3,Estructura Argumental ,9,Chipaya,5,fusión de argumentos,2,no fusión
3,Estructura Argumental ,9,Chipaya,7,Codificación de S,1,Sufijo verbal
3,Estructura Argumental ,9,Chipaya,8,Codificación de A,1,Sufijo verbal
3,Estructura Argumental ,9,Chipaya,9,Codificación de P ,4,sin marca
3,Estructura Argumental ,9,Chipaya,10,Codificación de T,1,sin marca
3,Estructura Argumental ,9,Chipaya,11,Codificación de R,5,sin marca
3,Estructura Argumental ,9,Chipaya,12,alineamiento intransitivo-transitivo (flaggi),1,neutro
3,Estructura Argumental ,9,Chipaya,13,alineamiento transitivo-ditransitivo (flaggi),2,indirectivo
3,Estructura Argumental ,9,Chipaya,6,Codificación de S en el sustantivo ,1,sufijo nominal
3,Estructura Argumental ,9,Chipaya,1,Codificación de A en el sustantivo ,1,sufijo nominal
3,Estructura Argumental ,9,Chipaya,2,Doble marcación de argumentos ,2,Ausencia
3,Estructura Argumental ,9,Chipaya,14,Codificación de P en el sustantivo ,1,Marca de caso
3,Estructura Argumental ,9,Chipaya,15,Marcación de T en el sustantivo ,1,sufijo nominal
3,Estructura Argumental ,9,Chipaya,16,Marcación de R en el sustantivo ,1,sufijo nominal
3,Estructura Argumental ,10,Uchumataqu,3,Alineamiento intransitivo transitivo,1,nominativo acusativo (A=S≠P)
3,Estructura Argumental ,10,Uchumataqu,4,Alineamiento transitivo ditransitivo,3,Alineamiento neutral (T=P=R)
3,Estructura Argumental ,10,Uchumataqu,5,fusión de argumentos,2,no fusión
3,Estructura Argumental ,10,Uchumataqu,7,Codificación de S,1,Sufijo verbal
3,Estructura Argumental ,10,Uchumataqu,8,Codificación de A,5,proclitico
3,Estructura Argumental ,10,Uchumataqu,9,Codificación de P ,1,Sufijo verbal
3,Estructura Argumental ,10,Uchumataqu,9,Codificación de P ,2,prefijo verbal
3,Estructura Argumental ,10,Uchumataqu,10,Codificación de T,5,sufijo
3,Estructura Argumental ,10,Uchumataqu,11,Codificación de R,2,prefijo verbal
3,Estructura Argumental ,10,Uchumataqu,12,alineamiento intransitivo-transitivo (flaggi),1,neutro
3,Estructura Argumental ,10,Uchumataqu,13,alineamiento transitivo-ditransitivo (flaggi),1,neutro
3,Estructura Argumental ,10,Uchumataqu,6,Codificación de S en el sustantivo ,2,Sin marca
3,Estructura Argumental ,10,Uchumataqu,1,Codificación de A en el sustantivo ,2,Sin marca
3,Estructura Argumental ,10,Uchumataqu,2,Doble marcación de argumentos ,2,Ausencia
3,Estructura Argumental ,10,Uchumataqu,14,Codificación de P en el sustantivo ,2,Sin marca
3,Estructura Argumental ,10,Uchumataqu,15,Marcación de T en el sustantivo ,2,Sin marca
3,Estructura Argumental ,10,Uchumataqu,16,Marcación de R en el sustantivo ,2,Sin marca
3,Estructura Argumental ,11,Cholon,3,Alineamiento intransitivo transitivo,1,nominativo acusativo (A=S≠P)
3,Estructura Argumental ,11,Cholon,4,Alineamiento transitivo ditransitivo,2,secundativo o de objeto secundario (T≠P)
3,Estructura Argumental ,11,Cholon,5,fusión de argumentos,2,no fusión
3,Estructura Argumental ,11,Cholon,7,Codificación de S,2,Prefijo verbal
3,Estructura Argumental ,11,Cholon,8,Codificación de A,2,Prefijo verbal
3,Estructura Argumental ,11,Cholon,9,Codificación de P ,2,prefijo verbal
3,Estructura Argumental ,11,Cholon,10,Codificación de T,1,sin marca
3,Estructura Argumental ,11,Cholon,11,Codificación de R,2,prefijo verbal
3,Estructura Argumental ,11,Cholon,12,alineamiento intransitivo-transitivo (flaggi),1,neutro
3,Estructura Argumental ,11,Cholon,13,alineamiento transitivo-ditransitivo (flaggi),1,neutro
3,Estructura Argumental ,11,Cholon,6,Codificación de S en el sustantivo ,2,Sin marca
3,Estructura Argumental ,11,Cholon,1,Codificación de A en el sustantivo ,2,Sin marca
3,Estructura Argumental ,11,Cholon,2,Doble marcación de argumentos ,2,Ausencia
3,Estructura Argumental ,11,Cholon,14,Codificación de P en el sustantivo ,2,Sin marca
3,Estructura Argumental ,11,Cholon,15,Marcación de T en el sustantivo ,2,Sin marca
3,Estructura Argumental ,11,Cholon,16,Marcación de R en el sustantivo ,2,Sin marca
3,Estructura Argumental ,12,Mochica,3,Alineamiento intransitivo transitivo,3,Alineamiento neutro (A=S=P)
3,Estructura Argumental ,12,Mochica,4,Alineamiento transitivo ditransitivo,2,secundativo o de objeto secundario (T≠P)
3,Estructura Argumental ,12,Mochica,5,fusión de argumentos,2,no fusión
3,Estructura Argumental ,12,Mochica,7,Codificación de S,1,Sufijo verbal
3,Estructura Argumental ,12,Mochica,8,Codificación de A,6,enclitico
3,Estructura Argumental ,12,Mochica,9,Codificación de P ,4,sin marca
3,Estructura Argumental ,12,Mochica,10,Codificación de T,1,sin marca
3,Estructura Argumental ,12,Mochica,11,Codificación de R,3,procl?tico
3,Estructura Argumental ,12,Mochica,12,alineamiento intransitivo-transitivo (flaggi),3,ergativo-absolutivo
3,Estructura Argumental ,12,Mochica,13,alineamiento transitivo-ditransitivo (flaggi),2,indirectivo
3,Estructura Argumental ,12,Mochica,6,Codificación de S en el sustantivo ,1,sufijo nominal
3,Estructura Argumental ,12,Mochica,1,Codificación de A en el sustantivo ,1,sufijo nominal
3,Estructura Argumental ,12,Mochica,2,Doble marcación de argumentos ,2,Ausencia
3,Estructura Argumental ,12,Mochica,14,Codificación de P en el sustantivo ,2,Sin marca
3,Estructura Argumental ,12,Mochica,15,Marcación de T en el sustantivo ,1,sufijo nominal
3,Estructura Argumental ,12,Mochica,16,Marcación de R en el sustantivo ,1,sufijo nominal
3,Estructura Argumental ,13,Kunza,3,Alineamiento intransitivo transitivo,1,nominativo acusativo (A=S≠P)
3,Estructura Argumental ,13,Kunza,4,Alineamiento transitivo ditransitivo,3,Alineamiento neutral (T=P=R)
3,Estructura Argumental ,13,Kunza,5,fusión de argumentos,2,no fusión
3,Estructura Argumental ,13,Kunza,7,Codificación de S,2,Prefijo verbal
3,Estructura Argumental ,13,Kunza,8,Codificación de A,2,Prefijo verbal
3,Estructura Argumental ,13,Kunza,9,Codificación de P ,2,prefijo verbal
3,Estructura Argumental ,13,Kunza,10,Codificación de T,1,sin marca
3,Estructura Argumental ,13,Kunza,11,Codificación de R,5,sin marca
3,Estructura Argumental ,13,Kunza,12,alineamiento intransitivo-transitivo (flaggi),1,neutro
3,Estructura Argumental ,13,Kunza,13,alineamiento transitivo-ditransitivo (flaggi),1,neutro
3,Estructura Argumental ,13,Kunza,6,Codificación de S en el sustantivo ,2,Sin marca
3,Estructura Argumental ,13,Kunza,1,Codificación de A en el sustantivo ,2,Sin marca
3,Estructura Argumental ,13,Kunza,2,Doble marcación de argumentos ,2,Ausencia
3,Estructura Argumental ,13,Kunza,14,Codificación de P en el sustantivo ,2,Sin marca
3,Estructura Argumental ,13,Kunza,15,Marcación de T en el sustantivo ,2,Sin marca
3,Estructura Argumental ,13,Kunza,16,Marcación de R en el sustantivo ,2,Sin marca
3,Estructura Argumental ,14,Millcayac,3,Alineamiento intransitivo transitivo,1,nominativo acusativo (A=S≠P)
3,Estructura Argumental ,14,Millcayac,4,Alineamiento transitivo ditransitivo,2,secundativo o de objeto secundario (T≠P)
3,Estructura Argumental ,14,Millcayac,5,fusión de argumentos,2,no fusión
3,Estructura Argumental ,14,Millcayac,7,Codificación de S,1,Sufijo verbal
3,Estructura Argumental ,14,Millcayac,8,Codificación de A,1,Sufijo verbal
3,Estructura Argumental ,14,Millcayac,9,Codificación de P ,2,prefijo verbal
3,Estructura Argumental ,14,Millcayac,10,Codificación de T,1,sin marca
3,Estructura Argumental ,14,Millcayac,11,Codificación de R,2,prefijo verbal
