Lexema;Significado                                                                                                                                                                                    
i-yauri; calzado                                                                                                                                                                                      
l                                                                                                                                                                                                     
laari; sangre                                                                                                                                                                                         
lari; sangre                                                                                                                                                                                          
laatchir; pájaro                                                                                                                                                                                      
labasatur; lamer, besar                                                                                                                                                                               
labuntur; pastorear, abrazar                                                                                                                                                                          
lackaltur; atar                                                                                                                                                                                       
lackar; choclo, mazorca verde del maíz, húmedo                                                                                                                                                        
lacknatur; envolver                                                                                                                                                                                   
lackitur; pasar                                                                                                                                                                                       
lacko; una planta acuática en las lagunas y ríos de la cordillera                                                                                                                                     
lacktor; hambruna                                                                                                                                                                                     
lackra; rajado, partido                                                                                                                                                                               
lacksi; cabeza                                                                                                                                                                                        
lacktchatur; jaqueca                                                                                                                                                                                  
lacktulva; distraido, falto de inteligencia                                                                                                                                                           
lacktur; ckoyotur                                                                                                                                                                                     
ladia; oeste                                                                                                                                                                                          
lay-cku; por                                                                                                                                                                                          
laipintur; mirar                                                                                                                                                                                      
lalackma; aurora                                                                                                                                                                                      
lalackuntur; alumbrar, despuntar el dia                                                                                                                                                               
lálama; trueno                                                                                                                                                                                        
lalcktchir; luz                                                                                                                                                                                       
lalcktur; amanecer                                                                                                                                                                                    
lali, lalir; entrañas                                                                                                                                                                                 
lamí; lascivo                                                                                                                                                                                         
lantur; andar, pasear                                                                                                                                                                                 
laptur; llevar                                                                                                                                                                                        
lari; rojo, colorado                                                                                                                                                                                  
lariatchi; rojo oscuro                                                                                                                                                                                
las-si; lengua                                                                                                                                                                                        
lascar; volcán de toconao                                                                                                                                                                             
latantur; matar                                                                                                                                                                                       
latchir; pájaro, ave                                                                                                                                                                                  
lattatur; matar                                                                                                                                                                                       
lattu; instante                                                                                                                                                                                       
laumatur; peinarse                                                                                                                                                                                    
launatur; (id)                                                                                                                                                                                        
lau-sar; desparramado                                                                                                                                                                                 
lau-tchur; zapallo                                                                                                                                                                                    
lay ir; sangre                                                                                                                                                                                        
leba; lijero                                                                                                                                                                                          
leber; plata                                                                                                                                                                                          
lecke; planta con que se hace la llicta o chile para coquear                                                                                                                                          
lecknitur; hervir                                                                                                                                                                                     
leckuntur; retirar                                                                                                                                                                                    
leps; lejos                                                                                                                                                                                           
leri; pueblo                                                                                                                                                                                          
les-si; lugar                                                                                                                                                                                         
lestur; (cfr letchtur)                                                                                                                                                                                
letchtur; reír, jugar, carnaval                                                                                                                                                                       
ley-ia; lejos                                                                                                                                                                                         
libay-natur; (cfr ckutuptur)                                                                                                                                                                          
liblibar; cántaro grande                                                                                                                                                                              
lickamps; querencia (rad lickan)                                                                                                                                                                      
lickan; pueblo                                                                                                                                                                                        
lickana; región atacameña                                                                                                                                                                             
lickanckabur; cerro del pueblo                                                                                                                                                                        
lickantacksi; atacameño                                                                                                                                                                               
lickar; apellido de 1615                                                                                                                                                                              
lickau; mujer                                                                                                                                                                                         
licki; esposa                                                                                                                                                                                         
lilar; (chala) caña de maíz                                                                                                                                                                           
liplip-natur; relumbrar, relampaguear                                                                                                                                                                 
litchi; espina                                                                                                                                                                                        
lockati; almohada                                                                                                                                                                                     
lockma; perro                                                                                                                                                                                         
lockotchi; achicoria                                                                                                                                                                                  
locktur; arder                                                                                                                                                                                        
lockuntur; encender                                                                                                                                                                                   
loy-mur; redondo                                                                                                                                                                                      
loy-notur; vuelta                                                                                                                                                                                     
lorcknatur; troncharse                                                                                                                                                                                
losistur; nevada                                                                                                                                                                                      
lupay-nir; hola                                                                                                                                                                                       
luckatur; corcovear                                                                                                                                                                                   
luckanatur; mover                                                                                                                                                                                     
lucklantur; ovillo                                                                                                                                                                                    
lulan; miel- abeja                                                                                                                                                                                    
lulantur; sonar (rad lulan) tronar                                                                                                                                                                    
luncku; jorobado                                                                                                                                                                                      
lupay-natur; rodar                                                                                                                                                                                    
m                                                                                                                                                                                                     
maara; cresta                                                                                                                                                                                         
ma-istur; hallar, procurar                                                                                                                                                                            
malckar; garganta                                                                                                                                                                                     
mamai; señora, amiga                                                                                                                                                                                  
mantur; tragar, trago                                                                                                                                                                                 
manuntur; fiar                                                                                                                                                                                        
masairi; apellido de 1613                                                                                                                                                                             
masi; prójimo                                                                                                                                                                                         
massatur; salir, subir                                                                                                                                                                                
matackai; sobaco                                                                                                                                                                                      
matur; traer                                                                                                                                                                                          
micktur; amortiguarse                                                                                                                                                                                 
miltur; aproximarse                                                                                                                                                                                   
minas; sombra                                                                                                                                                                                         
mincktur; ver                                                                                                                                                                                         
miri; arbusto llamado también pingo-pingo                                                                                                                                                             
misckán; sapo                                                                                                                                                                                         
misckanckaltchu; ápio                                                                                                                                                                                 
misckar; soga, cordel                                                                                                                                                                                 
mítchala; seis                                                                                                                                                                                        
mitchi; gato, leon, puma                                                                                                                                                                              
mitchi-ya; caleta al sur de cobija                                                                                                                                                                    
mocke-yatur; soñar, pesadilla                                                                                                                                                                         
mockor; difunto                                                                                                                                                                                       
molantur; nombre atacameño de la coca                                                                                                                                                                 
molti; nube, nublado                                                                                                                                                                                  
mooro; mocho (sin orejas), apellido atacameño                                                                                                                                                         
moracktur; catarro                                                                                                                                                                                    
mossi; espeso                                                                                                                                                                                         
muckar; muerto, difunto                                                                                                                                                                               
mucku; loma                                                                                                                                                                                           
mu-hu; semilla                                                                                                                                                                                        
mulsin; muerte                                                                                                                                                                                        
mulsintur; morir                                                                                                                                                                                      
mulur; hueso                                                                                                                                                                                          
muray-nir; grueso                                                                                                                                                                                     
mussur; pelo, cabello                                                                                                                                                                                 
mutusma; cinco                                                                                                                                                                                        
muttu; arriba                                                                                                                                                                                         
mutups; norte                                                                                                                                                                                         
muyackatur; envejecer                                                                                                                                                                                 
muy-i; viejo, anciano                                                                                                                                                                                 
