GLOTTOCODE;Name;ISOCODE
aghu1253;Aghul;agx
aghu1254;Aghu Tharnggalu;ggr
aghu1255;Aghu;ahh
aghu1256;Aghu Tharnggalu (Retired);gtu
aghu1259;Aghul-Lezgi;
aghw1237;Aghwan;xag
agii1244;Agi (Moru);
agii1245;Agi;aif
agiy1234;Agi-Yeri;
agne1238;Agneby;
agoa1234;Agoan;
agob1244;Agob-Ende-Kawam;kit
agob1245;Agöb;
agoi1244;Agoi (Gen);
agoi1245;Agoi-Doko-Iyoniyong;
agoi1246;Agoi;ibm
agon1238;Agona;
agra1238;Agrab;
agta1234;Agta-Pahanan;apf
agua1251;Aguano;aga
agua1252;Aguacateco;agu
agua1253;Aguaruna;agr
agua1254;Aguarico;
aguf1237;Agufi;
agul1243;Agulis;
agul1244;Agul;
agul1245;Agulis-Meghri;
agun1238;Aguna;aug
aguo1238;Aguok;
agus1235;Agusan Manobo;msm
agut1237;Agutaynen;agn
aguu1241;Agu;
aguu1242;Agu (Ewe);
agwa1246;Agwatashi;
agwa1247;Agwagwune;yay
ahaf1238;Ahafo;
ahan1243;Ahanta;aha
ahan1244;Àhàn;ahn
ahea1235;Aheave;
ahea1240;Ahe;ahe
ahei1238;Aheima;
aher1237;Aheri Gondi;esg
aheu1239;Thavung;thm
ahin1234;Ahin-Kayapa Kalanguya;kak
ahir1242;Ahiri;
ahir1243;Ahirani;ahr
ahkk1235;AHK;
ahom1240;Ahom;aho
ahou1236;Ahouic;
ahte1237;Ahtena;aht
ahua1238;Ahuatempan Popoloca;
ahva1234;Ahvazi;
ahwa1235;Ndunic;nfd
ahwa1239;Ahwaz;
aial1237;Ai'alu;
aian1241;Aian;
aibo1237;Aibondeni;
aich1238;Ai-Cham;aih
aiew1238;Aiewomba;
aigh1235;Aighon;aix
aigo1239;Aigon;
aigu1239;Aigun;
aika1237;Aikanã;tba
aikl1237;Aiklep;mwg
aiko1237;Aikoa;
aiku1240;Aiku;mzf
aima1241;Aimaq;aiq
aima1242;Aimara;
aime1238;Aimele;ail
aimo1244;Aimol;aim
aimo1245;Aimoli;
aimo1246;Aimore;
aimo1248;Aimol-Koireng;
ainb1238;Ainbai;aic
aine1237;Ane Kuruba;
ainu1240;Hokkaido Ainu;ain
ainu1251;Ainu (China);aib
ainu1252;Ainu;
aiom1240;Aiome;aki
aird1238;Aird Hills;
airm1240;Air Mata;
airm1241;Airmadidi;
airo1242;Airoran;air
airr1238;Tarbun;
airr1242;Air (Berber);
airy1239;Airym;
aisi1234;Aisian;
aita1238;Aita;
aito1238;Aiton;aio
aitu1237;Aitutaki;
aiya1239;Aiyangar;
aiya1240;Aiyar;
aiye1241;Aiyegunle;
aiye1242;||'Aiye;
aizi1248;Aizi;
aizu1241;Aizu;
ajab1235;Aja (Benin);ajg
ajam1240;Ajam;
ajas1235;Aja (South Sudan);aja
ajaw1236;Ajawa;ajw
ajee1238;Aje;
ajie1238;Ajië;aji
ajir1238;Ajiri of Hazara;
ajiw1238;Ajiw;
ajra1238;Ajra;
ajug1238;Ajugu;
ajuh1237;Ajuh;
ajum1239;Ajumba;
ajyi1238;Ajyíninka Apurucayali;cpc
akaa1242;Aka;soh
akab1248;Akabo;akm
akab1249;Akabea;abj
akab1250;Akabafa;
