Glottocode;ISO6393;LanguageName
nucl1302;kat;Georgian
nucl1302;kat;Georgian
nucl1302;kat;Georgian
buru1296;bsk;Burushaski
buru1296;bsk;Burushaski
buru1296;bsk;Burushaski
buru1296;bsk;Burushaski
buru1296;bsk;Burushaski
buru1296;bsk;Burushaski
buru1296;bsk;Burushaski
buru1296;bsk;Burushaski
buru1296;bsk;Burushaski
buru1296;bsk;Burushaski
buru1296;bsk;Burushaski
buru1296;bsk;Burushaski
buru1296;bsk;Burushaski
buru1296;bsk;Burushaski
buru1296;bsk;Burushaski
buru1296;bsk;Burushaski
buru1296;bsk;Burushaski
buru1296;bsk;Burushaski
buru1296;bsk;Burushaski
buru1296;bsk;Burushaski
buru1296;bsk;Burushaski
buru1296;bsk;Burushaski
buru1296;bsk;Burushaski
buru1296;bsk;Burushaski
buru1296;bsk;Burushaski
buru1296;bsk;Burushaski
buru1296;bsk;Burushaski
buru1296;bsk;Burushaski
buru1296;bsk;Burushaski
buru1296;bsk;Burushaski
buru1296;bsk;Burushaski
buru1296;bsk;Burushaski
buru1296;bsk;Burushaski
buru1296;bsk;Burushaski
buru1296;bsk;Burushaski
buru1296;bsk;Burushaski
buru1296;bsk;Burushaski
buru1296;bsk;Burushaski
buru1296;bsk;Burushaski
buru1296;bsk;Burushaski
buru1296;bsk;Burushaski
buru1296;bsk;Burushaski
buru1296;bsk;Burushaski
buru1296;bsk;Burushaski
buru1296;bsk;Burushaski
buru1296;bsk;Burushaski
buru1296;bsk;Burushaski
buru1296;bsk;Burushaski
buru1296;bsk;Burushaski
buru1296;bsk;Burushaski
buru1296;bsk;Burushaski
buru1296;bsk;Burushaski
buru1296;bsk;Burushaski
kuru1302;kru;Kurukh
kuru1302;kru;Kurukh
kuru1302;kru;Kurukh
kuru1302;kru;Kurukh
kuru1302;kru;Kurukh
kuru1302;kru;Kurukh
kuru1302;kru;Kurukh
kuru1302;kru;Kurukh
kuru1302;kru;Kurukh
kuru1302;kru;Kurukh
kuru1302;kru;Kurukh
kuru1302;kru;Kurukh
kuru1302;kru;Kurukh
kuru1302;kru;Kurukh
kuru1302;kru;Kurukh
kuru1302;kru;Kurukh
kuru1302;kru;Kurukh
kuru1302;kru;Kurukh
kuru1302;kru;Kurukh
kuru1302;kru;Kurukh
kuru1302;kru;Kurukh
kuru1302;kru;Kurukh
kuru1302;kru;Kurukh
kuru1302;kru;Kurukh
kuru1302;kru;Kurukh
kuru1302;kru;Kurukh
kuru1302;kru;Kurukh
kuru1302;kru;Kurukh
kuru1302;kru;Kurukh
kuru1302;kru;Kurukh
kuru1302;kru;Kurukh
kuru1302;kru;Kurukh
kuru1302;kru;Kurukh
kuru1302;kru;Kurukh
